cpu,ram,disco
48.5,52.4,55.5
37.3,52.5,55.5
33.8,52.7,55.5
30.3,52.9,55.5
19.3,52.4,55.5
15.0,52.5,55.5
15.1,52.5,55.5
10.5,51.7,55.5
25.2,52.1,55.5
27.4,50.8,55.5
20.7,50.6,55.5
29.5,50.3,55.5
18.4,50.2,55.5
18.5,49.9,55.5
21.1,50.0,55.5
20.2,50.0,55.5
26.7,50.1,55.5
26.4,50.2,55.5
23.1,50.1,55.5
22.8,50.2,55.5
18.3,50.2,55.5
16.9,50.2,55.5
17.5,50.2,55.5
16.1,50.3,55.5
11.3,49.8,55.5
27.6,49.7,55.5
27.9,49.8,55.5
26.1,49.7,55.5
25.2,49.5,55.5
34.5,49.3,55.5
28.1,49.2,55.5
28.5,49.3,55.5
27.2,49.3,55.5
24.7,49.3,55.5
25.6,49.3,55.5
25.7,49.3,55.5
34.1,49.2,55.5
25.0,49.3,55.5
25.1,49.2,55.5
22.5,49.3,55.5
24.4,49.3,55.5
27.1,49.3,55.5
25.3,49.3,55.5
24.3,49.4,55.5
30.1,49.4,55.5
24.7,49.4,55.5
25.6,49.4,55.5
21.8,49.4,55.5
27.6,49.7,55.5
22.7,49.8,55.5
